time,x,y,z,qx,qy,qz,qw
1780302173.1772356,-11.304936088387388,-9.094859928689948,0.0,0.0,0.0,-0.10644230209546339,0.9943188806035105
1780302173.348683,-11.223414426158387,-9.097830986147953,0.0,0.0,0.0,-0.1044422472349551,0.9945309532601349
1780302173.4947014,-11.143799678768268,-9.100732545509304,0.0,0.0,0.0,-0.10248856883841359,0.9947341822102294
1780302173.6495306,-11.062278016539269,-9.103703602967311,0.0,0.0,0.0,-0.1004876866927918,0.9949383020183369
1780302173.8464675,-10.976465710605476,-9.106831032766264,0.0,0.0,0.0,-0.09838105523290086,0.9951488169973679
1780302174.0037327,-10.896566278327969,-9.10988281877608,0.0,0.0,0.0,-0.09642617770015682,0.9953401389746812
1780302174.186378,-10.814969801199794,-9.113829735973937,0.0,0.0,0.0,-0.09327101989325152,0.9956407569239383
1780302174.3877604,-10.721158356503496,-9.118367504341133,0.0,0.0,0.0,-0.08961744308189117,0.9959762617128302
1780302174.5391471,-10.638096064647032,-9.12238532449433,0.0,0.0,0.0,-0.08638149384659989,0.9962621329353183
1780302174.708695,-10.5564995874986,-9.126332240761084,0.0,0.0,0.0,-0.056945088074038246,0.9983773119138075
1780302174.867244,-10.475391792978753,-9.130255518844752,0.0,0.0,0.0,-0.051399046695552966,0.9986781954157147
1780302175.0472147,-10.393807951143112,-9.132346723080154,0.0,0.0,0.0,-0.04588784421856418,0.9989465980486508
1780302175.209501,-10.311762959543522,-9.130435008970872,0.0,0.0,0.0,-0.05199086423706833,0.9986475604716024
1780302175.4391694,-10.2302062956413,-9.128534674581925,0.0,0.0,0.0,-0.0489428869746671,0.9988015788006069
1780302175.55363,-10.14425444957083,-9.12653192777729,0.0,0.0,0.0,-0.04573015791389498,0.9989538290918005
1780302175.7659564,-10.047558462656044,-9.12427883435158,0.0,0.0,0.0,-0.042115267924260784,0.9991127585050987
1780302175.9415421,-9.965513471076715,-9.1223671211734,0.0,0.0,0.0,-0.038980288021214886,0.999239979757507
1780302176.0858965,-9.88247591997865,-9.119888864496692,0.0,0.0,0.0,-0.0365691187863746,0.9993311260794332
1780302176.270091,-9.793744491205153,-9.116834332521963,0.0,0.0,0.0,-0.03438880710791994,0.9994085300544989
1780302176.4780712,-9.710496425212968,-9.113968561460675,0.0,0.0,0.0,-0.032343083790835066,0.9994768256097282
1780302176.6106613,-9.627248478098384,-9.111102795265158,0.0,0.0,0.0,-0.03029722788848371,0.9995409336201662
1780302176.7981904,-9.524559236328155,-9.107567772132143,0.0,0.0,0.0,-0.027773419447274572,0.9996142441823274
1780302176.9961557,-9.439317231074313,-9.104633361264991,0.0,0.0,0.0,-0.025669656101035426,0.9996704800861405
1780302177.187959,-9.341437740459982,-9.093219843234436,0.0,0.0,0.0,-0.01982336207673629,0.9998034978514401
1780302177.3559904,-9.251537116484913,-9.082212874167151,0.0,0.0,0.0,-0.01652742392427333,0.9998634128011823
1780302177.5318606,-9.16812920817453,-9.072000839915368,0.0,0.0,0.0,-0.013469360437115573,0.9999092840500158
1780302177.7416465,-9.084721299864146,-9.061788805663587,0.0,0.0,0.0,-0.01041117095949411,0.9999458022909302
1780302177.9051695,-8.99981503591396,-9.051393320338864,0.0,0.0,0.0,-0.007297943731806389,0.999973369654056
1780302178.057282,-8.918258679368785,-9.041321052727621,0.0,0.0,0.0,-0.0025285163011854795,0.9999968032975479
1780302178.2166789,-8.847232866974856,-9.032216940619367,0.0,0.0,0.0,0.0006441328446951213,0.9999997925464177
1780302178.3722966,-8.77410564988699,-9.022843469228127,0.0,0.0,0.0,0.001551625417612248,0.9999987962285571
1780302178.5484974,-8.70350007831135,-9.013793223887552,0.0,0.0,0.0,0.004765699943793964,0.9999886439875434
1780302178.7217216,-8.632053924856079,-9.004635232288052,0.0,0.0,0.0,0.00799038718313195,0.999968076346772
1780302178.9004073,-8.553042935284351,-8.994507578050904,0.0,0.0,0.0,0.013655242988457503,0.9999067628228775
1780302179.0814474,-8.486371161149812,-8.98425846589893,0.0,0.0,0.0,0.021671429745352577,0.9997651469884276
1780302179.2506316,-8.432879260270358,-8.973995656275,0.0,0.0,0.0,0.02684793649487653,0.9996395291833787
1780302179.4353437,-8.380024197639036,-8.963855029868686,0.0,0.0,0.0,0.03664851268926101,0.9993282176130448
1780302179.6372173,-8.320800981011882,-8.95249262593346,0.0,0.0,0.0,0.044764075178872584,0.9989975863701475
1780302179.773767,-8.26476187933281,-8.941741118320845,0.0,0.0,0.0,0.05015074162255682,0.998741659847384
1780302180.011514,-8.19662338386873,-8.928668253983062,0.0,0.0,0.0,0.056554457557157545,0.9983995158905155
1780302180.2099247,-8.147237370236185,-8.917619943653364,0.0,0.0,0.0,0.05854398525100786,0.9982848299913857
1780302180.3965044,-8.098030862705512,-8.906548713848869,0.0,0.0,0.0,0.060543328456179546,0.9981655701232371
1780302180.546322,-8.056736970712565,-8.897257785480171,0.0,0.0,0.0,0.062220981678304844,0.9980623975679016
1780302180.7742312,-8.007777772936791,-8.886242199082446,0.0,0.0,0.0,0.06420982630088007,0.9979364199218359
1780302180.9412313,-7.962527632040887,-8.8760611322224,0.0,0.0,0.0,0.0660477732097403,0.9978164619077171
1780302181.122923,-7.923121535419072,-8.8672002387798,0.0,0.0,0.0,0.06826877374996575,0.997666965740911
1780302181.2734606,-7.88607962072303,-8.858874039960991,0.0,0.0,0.0,0.07334455002078162,0.9973066614548651
1780302181.5260415,-7.833194520666127,-8.846986646147744,0.0,0.0,0.0,0.07721558631081908,0.9970144197706854
1780302181.678016,-7.79570635055547,-8.838560140003551,0.0,0.0,0.0,0.08240694816609487,0.9965987632412306
1780302181.884324,-7.758441361304895,-8.83018379940714,0.0,0.0,0.0,0.08987195773726395,0.9959533278284035
1780302182.104898,-7.7021602306111285,-8.81612775304148,0.0,0.0,0.0,0.09392038620521452,0.9955797110503324
1780302182.2780116,-7.66188415334094,-8.804518137386665,0.0,0.0,0.0,0.09673989720009529,0.9953096966722041
1780302182.4419334,-7.622314678889733,-8.793112201444668,0.0,0.0,0.0,0.09950918707750105,0.9950366433891643
1780302182.636293,-7.575443717307872,-8.77960160517028,0.0,0.0,0.0,0.10515278339204547,0.9944560785398747
1780302182.803498,-7.534932124509149,-8.767924102390815,0.0,0.0,0.0,0.10798553251911713,0.9941524655537312
1780302183.033408,-7.490887517871127,-8.755228204767889,0.0,0.0,0.0,0.111125764865494,0.9938063515509744
1780302183.187221,-7.423804110566847,-8.73015252620299,0.0,0.0,0.0,0.12221831585910005,0.9925032409360511
1780302183.3701112,-7.3599479406505335,-8.706104930629415,0.0,0.0,0.0,0.1304031850651046,0.9914610478101881
1780302183.5630543,-7.281327252478123,-8.676497164532263,0.0,0.0,0.0,0.13756072709930675,0.9904933348387106
1780302183.759105,-7.2093506107096905,-8.64939148019355,0.0,0.0,0.0,0.14410711949635907,0.9895620941156053
1780302183.936669,-7.146970778201096,-8.62589985907519,0.0,0.0,0.0,0.1497755802034359,0.9887200187994194
1780302184.157275,-7.080658058493088,-8.597485677409187,0.0,0.0,0.0,0.15180388285698782,0.9884106338711365
1780302184.2887206,-7.009789629822645,-8.564543465480035,0.0,0.0,0.0,0.15180388285698782,0.9884106338711365
1780302184.461417,-6.933889192576835,-8.529262192909417,0.0,0.0,0.0,0.15180388285698782,0.9884106338711365
1780302184.666445,-6.8512793106465875,-8.490862127792699,0.0,0.0,0.0,0.15414789181426375,0.9880477860150378
1780302184.8294227,-6.779991672893766,-8.457725051586536,0.0,0.0,0.0,0.15901592275557133,0.9872760182999455
1780302185.019415,-6.696457001188078,-8.41870293519538,0.0,0.0,0.0,0.15967782799159155,0.9871691806614952
1780302185.2113934,-6.620970142606462,-8.37985584821492,0.0,0.0,0.0,0.17002605943129465,0.9854395664444705
1780302185.3795083,-6.548485489002213,-8.34255375850653,0.0,0.0,0.0,0.18487950684374188,0.9827611957893
1780302185.587927,-6.465278324299299,-8.299733643779431,0.0,0.0,0.0,0.19347229931565266,0.981105738133008
1780302185.7550123,-6.3915070552474464,-8.26176943551642,0.0,0.0,0.0,0.19876539142977515,0.9800471004853636
1780302185.9216013,-6.319880247506599,-8.224908809672371,0.0,0.0,0.0,0.2038990783202663,0.9789919130718833
1780302186.1186101,-6.235677936171566,-8.179149658998227,0.0,0.0,0.0,0.2082520419407,0.9780751949760964
1780302186.3757653,-6.133514137062372,-8.11963595505341,0.0,0.0,0.0,0.2113538707347719,0.9774096077517498
1780302186.5611596,-6.049008299599216,-8.070408581788266,0.0,0.0,0.0,0.2235682750465057,0.9746882713938493
1780302186.7849662,-5.962820775366258,-8.020201572412027,0.0,0.0,0.0,0.23117649091774822,0.9729118305617196
1780302186.9275608,-5.891768532254949,-7.978811351995166,0.0,0.0,0.0,0.23834822925997684,0.9711797576188631
1780302187.1263714,-5.82000320988618,-7.934844126472282,0.0,0.0,0.0,0.24196639814941698,0.9702846294601383
1780302187.3432775,-5.759103661210272,-7.89511948409195,0.0,0.0,0.0,0.25108193567247267,0.9679658369895935
1780302187.4650493,-5.697847915692743,-7.855162494198251,0.0,0.0,0.0,0.25555882156855675,0.9667935088313795
1780302187.6275206,-5.637660675662483,-7.815902489076172,0.0,0.0,0.0,0.26073031214038817,0.9654116760901412
1780302187.830837,-5.558954258751336,-7.764562465031723,0.0,0.0,0.0,0.26646622748559806,0.963844255888675
1780302188.0345855,-5.491687109537413,-7.720375268561451,0.0,0.0,0.0,0.2713900355431987,0.9624694533375391
1780302188.2114952,-5.437927274527298,-7.680055156567471,0.0,0.0,0.0,0.2798330754785542,0.9600486705725986
1780302188.4772334,-5.3670908251100915,-7.626927507012212,0.0,0.0,0.0,0.2870342265534343,0.9579203269515015
1780302188.6339512,-5.3123823563286905,-7.585895915551168,0.0,0.0,0.0,0.2954017617926416,0.9553731203722468
1780302188.7849405,-5.258938732613606,-7.545812962447174,0.0,0.0,0.0,0.2990741756706601,0.9542298661469967
1780302188.9739587,-5.205495184293606,-7.505730065458375,0.0,0.0,0.0,0.3054804823004909,0.9521983380228405
1780302189.1452246,-5.150704051611782,-7.462371700167005,0.0,0.0,0.0,0.3081702564438983,0.9513312215224001
1780302189.3078375,-5.102417576174617,-7.4222385639219794,0.0,0.0,0.0,0.3126375044183789,0.9498725129358403
1780302189.5128834,-5.044641300912225,-7.37421801390827,0.0,0.0,0.0,0.31468558826901133,0.9491959652968328
1780302189.7454362,-4.989097962747376,-7.328053361790264,0.0,0.0,0.0,0.3166531376504395,0.9485414015298077
1780302189.9697711,-4.936903930493008,-7.284672473449716,0.0,0.0,0.0,0.3207852697645671,0.9471519469979851
1780302190.1478684,-4.889928613967176,-7.2447628552533905,0.0,0.0,0.0,0.3223161672546191,0.9466320765357006
1780302190.3001106,-4.838501430502164,-7.197366352835585,0.0,0.0,0.0,0.3235621310409532,0.9462069262884504
1780302190.482204,-4.791451038316713,-7.154003604923924,0.0,0.0,0.0,0.34214701325007035,0.9396464342102598
1780302190.735868,-4.74549482766162,-7.111649280156999,0.0,0.0,0.0,0.3550612293661991,0.9348430474689124
1780302190.8850882,-4.699265022718054,-7.069042804789506,0.0,0.0,0.0,0.35616732323136346,0.9344221946541111
1780302191.037731,-4.647290781144087,-7.021142121295479,0.0,0.0,0.0,0.36690923651216034,0.9302567452924292
1780302191.1956596,-4.605149312603796,-6.979885044244246,0.0,0.0,0.0,0.37185406044183633,0.9282912030892672
1780302191.356262,-4.561350082898367,-6.934427049005254,0.0,0.0,0.0,0.37841080647160635,0.9256377593559526
1780302191.5400276,-4.521273830228519,-6.892833026479971,0.0,0.0,0.0,0.3845724452027917,0.9230948133267491
1780302191.7161393,-4.4840444771539465,-6.854193722499507,0.0,0.0,0.0,0.3882682171326317,0.9215464131364451
1780302191.8956141,-4.440026267178423,-6.80850845292411,0.0,0.0,0.0,0.3926298737913829,0.9196965707267603
1780302192.0524166,-4.401669646608602,-6.766604903867413,0.0,0.0,0.0,0.3969326930392607,0.9178477200476123
1780302192.2581027,-4.365872622374383,-6.7152754920033635,0.0,0.0,0.0,0.4029864715151517,0.9152059351729357
1780302192.4431827,-4.331092534549522,-6.6654042664396815,0.0,0.0,0.0,0.4088514350754684,0.9126009555313483
1780302192.607868,-4.292041178045325,-6.609408462577087,0.0,0.0,0.0,0.4154165838247592,0.9096312779821101
1780302192.7821834,-4.257667893909819,-6.5601205544960415,0.0,0.0,0.0,0.4233035159080198,0.9059879322705733
1780302192.938732,-4.223294561251886,-6.51083257574195,0.0,0.0,0.0,0.4290411125942786,0.9032849626246767
1780302193.1672316,-4.181463862439007,-6.445747144038573,0.0,0.0,0.0,0.4373429488637457,0.8992948043212321
1780302193.334149,-4.149863997289032,-6.393138135598403,0.0,0.0,0.0,0.4485625880275439,0.8937514221650402
1780302193.5277865,-4.1188120674496425,-6.341441357150147,0.0,0.0,0.0,0.459565854409789,0.8881436964031219
1780302193.7396953,-4.082280392892485,-6.280621630565753,0.0,0.0,0.0,0.46964186089502835,0.8828570226798079
1780302193.9462514,-4.0504978390942155,-6.227708473438205,0.0,0.0,0.0,0.47659292303063644,0.8791241014311426
1780302194.0917983,-4.019160713098708,-6.175038735032767,0.0,0.0,0.0,0.4832169881678707,0.8755006238409953
1780302194.2829282,-3.9891526382097267,-6.116520618713905,0.0,0.0,0.0,0.4883927263028063,0.872623942425666
1780302194.4705522,-3.9570805533263935,-6.053977519024139,0.0,0.0,0.0,0.49390552443401947,0.8695155737153626
1780302194.6560764,-3.9285014434138006,-5.9982459964659505,0.0,0.0,0.0,0.49880126180796824,0.8667163903023749
1780302194.8550928,-3.89500039353382,-5.932916302084409,0.0,0.0,0.0,0.5072022989365643,0.8618270290223347
1780302195.0573916,-3.8632458311493387,-5.8709923967342075,0.0,0.0,0.0,0.5145680199990367,0.8574495628281998
1780302195.2314265,-3.843062521799916,-5.8240773855118375,0.0,0.0,0.0,0.5180661390022785,0.8553405611914309
1780302195.4263883,-3.8234161485475067,-5.777981848599212,0.0,0.0,0.0,0.5215153259553885,0.8532419145785355
1780302195.6185436,-3.800323019093577,-5.723799317532761,0.0,0.0,0.0,0.5409194632127564,0.8410743928557233
1780302195.9553785,-3.7801022047644017,-5.676355991024694,0.0,0.0,0.0,0.5697671028990741,0.8218062110096248
1780302196.1605453,-3.7604558314917322,-5.630260453180966,0.0,0.0,0.0,0.5773714690493059,0.8164815899503469
1780302196.357279,-3.7406249762251047,-5.5790417399498615,0.0,0.0,0.0,0.5829679315840566,0.8124951635207478
1780302196.5520916,-3.7275403315442572,-5.539068873604412,0.0,0.0,0.0,0.5862531283113324,0.8101279340605263
1780302196.7580314,-3.7145317728770335,-5.4993284466492085,0.0,0.0,0.0,0.5920422623834404,0.8059069174240271
1780302196.929149,-3.6994692351357403,-5.453313227414672,0.0,0.0,0.0,0.5957924105774144,0.8031384709365836
